City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kangding,30.0513,101.9603,55.99,46,100,2.91,CN,1698634644
84,rusape,-18.5278,32.1284,57.47,87,99,11.7,ZW,1698634645
85,pisco,-13.7,-76.2167,68.05,77,61,12.66,PE,1698634478
86,walvis bay,-22.9575,14.5053,56.3,88,0,4.7,NA,1698634648
87,porto novo,6.4965,2.6036,82.22,87,78,3.02,BJ,1698634649
88,namibe,-15.1961,12.1522,66.42,86,5,5.26,AO,1698634462
89,kodiak,57.79,-152.4072,45.91,100,100,8.05,US,1698634468
90,saint-philippe,-21.3585,55.7679,74.79,86,44,10.98,RE,1698634653
91,badger,64.8,-147.5333,27.36,87,75,0.0,US,1698634478
92,biloli,18.7667,77.7333,73.62,53,38,4.05,IN,1698634656
93,benguela,-12.5763,13.4055,75.58,86,54,4.05,AO,1698634657
94,erenhot,43.6475,111.9767,52.36,31,41,13.42,CN,1698634659
95,hirtshals,57.5881,9.9592,45.46,96,100,14.5,DK,1698634660
96,kavieng,-2.5744,150.7967,76.5,93,100,10.89,PG,1698634661
97,udachny,66.4167,112.4,-4.56,76,95,7.54,RU,1698634663
98,tagiura,32.8817,13.3506,75.61,56,94,14.63,LY,1698634664
99,bikenibeu village,1.3673,173.1241,87.76,70,40,5.75,KI,1698634665
100,onega,63.9061,38.1404,23.52,88,83,6.62,RU,1698634667
101,impfondo,1.6381,18.0667,73.29,85,84,1.95,CG,1698634668
102,margaret river,-33.95,115.0667,60.13,53,99,9.78,AU,1698634450
103,sarangani,5.4033,125.4636,82.71,69,57,2.75,PH,1698634672
104,arteche,12.2645,125.4048,82.35,87,100,10.22,PH,1698634464
105,katsuura,35.1333,140.3,67.96,50,0,7.09,JP,1698634675
106,kertih,4.5141,103.4483,86.09,74,20,3.44,MY,1698634676
107,kashgar,39.4547,75.9797,58.21,26,20,8.95,CN,1698634455
108,padangsidempuan,1.3667,99.2667,82.0,77,58,1.57,ID,1698634679
109,puerto san jose,13.9256,-90.8244,78.4,86,100,11.48,GT,1698634680
110,murzuq,25.9155,13.9184,69.39,29,0,8.34,LY,1698634682
111,ancud,-41.8697,-73.8203,44.58,85,100,19.93,CL,1698634683
112,port lincoln,-34.7333,135.8667,61.75,53,36,20.78,AU,1698634468
113,nuuk,64.1835,-51.7216,48.81,43,100,17.27,GL,1698634497
114,sabha,27.0377,14.4283,71.38,30,0,12.8,LY,1698634687
115,andover,51.2083,-1.4825,51.33,93,100,13.0,GB,1698634645
116,lompoc,34.6391,-120.4579,61.92,60,0,5.99,US,1698634468
117,st. john's,47.5649,-52.7093,40.96,67,10,8.01,CA,1698634691
118,hawaiian paradise park,19.5933,-154.9731,80.11,81,100,5.75,US,1698634692
119,merizo village,13.2658,144.6691,88.36,85,28,9.28,GU,1698634693
120,okha,53.5739,142.9478,41.02,73,89,7.96,RU,1698634497
121,papatowai,-46.5619,169.4708,57.87,60,6,12.12,NZ,1698634696
122,cooma,-36.2333,149.1333,72.72,25,100,19.06,AU,1698634697
123,inderbor,48.55,51.7833,44.31,78,12,14.25,KZ,1698634699
124,nova vicosa,-17.8919,-39.3719,75.61,76,49,12.8,BR,1698634700
125,bafata,12.1667,-14.75,74.59,97,35,3.11,GW,1698634702
126,lebu,-37.6167,-73.65,45.28,63,17,2.93,CL,1698634585
127,saint-joseph,-21.3667,55.6167,73.78,82,24,9.55,RE,1698634514
128,coquimbo,-29.9533,-71.3436,59.56,84,23,3.4,CL,1698634545
129,sassnitz,54.5167,13.65,52.81,81,21,25.32,DE,1698634707
130,kirakira,-10.4544,161.9205,83.86,77,85,9.53,SB,1698634676
131,hithadhoo,-0.6,73.0833,80.89,79,29,16.15,MV,1698634480
132,reo,12.3167,-2.4667,81.1,33,0,1.59,BF,1698634712
133,chadan,51.2833,91.5833,26.22,69,82,1.14,RU,1698634714
134,road town,18.4167,-64.6167,80.69,82,98,15.35,VG,1698634616
135,freeport,40.6576,-73.5832,57.96,91,100,8.99,US,1698634717
136,mahuta,-10.8667,39.45,71.22,93,99,4.05,TZ,1698634718
137,odobesti,45.7667,27.05,54.93,62,66,4.99,RO,1698634720
138,cabo san lucas,22.8909,-109.9124,78.62,76,0,10.36,MX,1698634479
139,atafu village,-8.5421,-172.5159,84.4,69,83,13.49,TK,1698634723
140,chernyshevskiy,63.0128,112.4714,14.86,90,100,4.23,RU,1698634724
141,ola,59.5833,151.2833,32.14,59,6,2.71,RU,1698634725
142,boden,65.8252,21.6886,23.0,86,39,2.89,SE,1698634727
143,pangody,65.85,74.4859,4.96,96,14,3.38,RU,1698634728
144,beysehir,37.6773,31.7246,56.98,47,80,2.77,TR,1698634729
145,sanski most,44.7653,16.6656,53.76,78,11,5.75,BA,1698634731
146,yanam,16.7333,82.2167,83.75,58,0,6.96,IN,1698634732
147,lorengau,-2.0226,147.2712,77.49,89,100,6.62,PG,1698634734
148,fortuna,40.5982,-124.1573,54.52,70,0,0.0,US,1698634735
149,alta,69.9689,23.2717,20.46,86,100,3.44,NO,1698634736
150,menongue,-14.6585,17.691,69.15,57,86,2.35,AO,1698634738
151,okhotsk,59.3833,143.3,28.87,73,19,6.38,RU,1698634641
152,las veredas,23.1388,-109.7075,77.11,79,20,2.3,MX,1698634740
153,tolanaro,-25.0319,46.9987,73.47,88,75,3.44,MG,1698634461
154,saint-pierre,-21.3393,55.4781,76.57,73,7,3.44,RE,1698634743
155,vilyuchinsk,52.9306,158.4028,38.93,55,95,9.19,RU,1698634471
156,moyynkum,44.2914,72.9469,62.15,48,100,6.49,KZ,1698634747
157,jyvaskyla,62.2415,25.7209,20.35,84,0,2.3,FI,1698634748
158,contamana,-7.3333,-75.0167,74.46,92,100,2.17,PE,1698634750
159,mokopane,-24.1944,29.0097,53.91,69,57,4.88,ZA,1698634459
160,kolonia,50.9333,6.95,55.96,80,0,12.66,DE,1698634645
161,tabou,4.423,-7.3528,77.85,86,0,2.37,CI,1698634754
162,tamandare,-8.7597,-35.1047,74.91,76,85,6.89,BR,1698634755
163,manacapuru,-3.2997,-60.6206,84.24,47,11,3.4,BR,1698634627
164,toliara,-23.35,43.6667,73.83,71,81,4.97,MG,1698634758
165,forbesganj,26.3,87.25,76.69,66,0,3.22,IN,1698634760
166,kas,36.2018,29.6377,70.56,63,95,3.44,TR,1698634761
167,thompson,55.7435,-97.8558,23.16,93,100,3.44,CA,1698634570
168,nova sintra,14.8667,-24.7167,73.09,68,90,6.04,CV,1698634478
169,emerald,-23.5333,148.1667,85.33,32,94,5.23,AU,1698634765
170,pyhajarvi,67.0701,27.2176,12.92,98,98,1.59,FI,1698634766
171,ketchikan,55.3422,-131.6461,42.78,87,100,0.0,US,1698634748
172,cabedelo,-6.9811,-34.8339,75.87,77,99,11.79,BR,1698634769
173,anadyr,64.75,177.4833,28.9,92,75,20.13,RU,1698634770
174,isla vista,34.4133,-119.861,64.36,44,0,5.75,US,1698634771
175,aral,40.5156,81.2636,60.06,24,81,2.64,CN,1698634773
176,presidente medici,-11.1753,-61.9014,82.87,51,93,1.61,BR,1698634776
177,port sudan,19.6175,37.2164,82.9,77,38,4.99,SD,1698634777
178,songea,-10.6833,35.65,62.62,86,42,4.72,TZ,1698634778
179,south molton,51.0167,-3.8333,52.84,92,86,12.53,GB,1698634780
180,hammerfest,70.6634,23.6821,30.65,80,75,6.91,NO,1698634519
181,twin falls,42.3505,-114.6445,26.92,39,30,2.66,US,1698634783
182,susuman,62.7833,148.1667,7.99,92,83,1.99,RU,1698634784
183,camana,-16.6228,-72.7111,65.79,90,67,9.4,PE,1698634785
184,sitka,57.0531,-135.33,40.44,84,100,5.57,US,1698634787
185,bambanglipuro,-7.95,110.2833,87.26,58,34,14.47,ID,1698634788
186,sabang,5.8933,95.3214,81.88,74,100,6.71,ID,1698634789
187,touros,-5.1989,-35.4608,76.68,81,20,14.0,BR,1698634791
188,alaghsas,17.0187,8.0168,77.36,12,2,10.02,NE,1698634793
189,san jose del guaviare,2.5729,-72.6459,71.13,95,100,1.43,CO,1698634796
190,san luis de la loma,17.2706,-100.8939,79.23,86,48,4.56,MX,1698634797
191,college,64.8569,-147.8028,27.45,86,75,0.0,US,1698634556
192,el calafate,-50.3408,-72.2768,37.74,66,3,9.13,AR,1698634800
193,popondetta,-8.7537,148.2534,74.84,97,100,1.74,PG,1698634802
194,polyarnyy,69.1989,33.4478,20.44,94,100,8.14,RU,1698634805
195,arno,60.1167,18.6333,37.78,69,100,11.72,SE,1698634808
196,selfoss,63.9331,-20.9971,29.05,73,77,5.61,IS,1698634810
197,ta`u,-14.2336,-169.5144,81.25,79,78,15.5,AS,1698634813
198,juneau,58.3019,-134.4197,36.41,100,100,2.59,US,1698634816
199,tazacorte,28.629,-17.9293,70.77,83,0,5.75,ES,1698634817
200,sakaiminato,35.55,133.2333,64.38,59,20,2.3,JP,1698634819
201,lejanias,3.5251,-74.0216,77.32,96,100,1.61,CO,1698634820
202,kerugoya,-0.4989,37.2803,60.42,90,26,4.7,KE,1698634822
203,khuzdar,27.7384,66.6434,69.17,39,98,0.96,PK,1698634823
204,constitucion,-35.3333,-72.4167,47.64,86,23,3.6,CL,1698634557
205,los alamos,35.8881,-106.307,31.26,82,100,12.66,US,1698634828
206,quellon,-43.1167,-73.6167,40.98,97,100,6.2,CL,1698634832
207,bloomsburg,41.0037,-76.4549,52.59,96,100,3.78,US,1698634835
208,harper,4.375,-7.7169,74.82,95,0,1.74,LR,1698634836
209,taguatinga,-12.3857,-46.5711,85.96,27,100,3.6,BR,1698634838
210,ust-nera,64.5667,143.2,13.35,94,98,2.42,RU,1698634839
211,mukalla,14.5425,49.1242,75.47,87,27,2.01,YE,1698634841
212,tuskegee,32.424,-85.6916,70.95,100,0,3.49,US,1698634843
213,tympaki,35.0729,24.7685,65.77,91,98,2.68,GR,1698634845
214,swakopmund,-22.6833,14.5333,56.93,85,2,4.16,NA,1698634848
215,fairbanks,64.8378,-147.7164,27.45,87,75,0.0,US,1698634749
216,lihue,21.9789,-159.3672,79.84,81,100,3.53,US,1698634850
217,nikolayevsk-on-amure,53.1406,140.73,40.24,48,24,3.13,RU,1698634852
218,camocim,-2.9022,-40.8411,80.96,80,96,18.66,BR,1698634853
219,la passe,45.5549,-0.8967,55.63,96,100,11.21,FR,1698634855
220,kemijarvi,66.7131,27.4306,14.99,97,96,2.17,FI,1698634857
221,ciudad insurgentes,25.2625,-111.7753,71.2,70,0,7.25,MX,1698634858
222,vicam,27.6333,-110.2833,77.47,67,0,8.79,MX,1698634859
223,manado,1.487,124.8455,93.97,43,20,3.44,ID,1698634860
224,pedernales,18.0384,-71.744,78.67,92,100,2.15,DO,1698634862
225,nelson,-41.2833,173.2833,67.28,50,94,1.99,NZ,1698634864
226,ayora,39.0585,-1.0563,59.81,59,100,7.34,ES,1698634865
227,muskogee,35.5834,-95.3336,39.34,93,100,14.76,US,1698634866
228,caleta de carquin,-11.0925,-77.6267,66.99,87,96,8.5,PE,1698634868
229,severnoye,56.3491,78.3619,20.98,87,100,5.01,RU,1698634869
230,sinabang,2.4803,96.3801,81.05,78,99,3.0,ID,1698634872
231,lata,40.1629,-8.3327,53.08,91,80,5.75,PT,1698634873
232,greymouth,-42.4667,171.2,58.98,52,100,8.12,NZ,1698634875
233,westport,41.1415,-73.3579,56.32,90,100,7.0,US,1698634761
234,brisas de zicatela,15.8369,-97.0419,80.38,84,34,4.88,MX,1698634877
235,flin flon,54.7682,-101.865,25.72,87,100,8.43,CA,1698634879
236,talcahuano,-36.7167,-73.1167,46.08,87,40,1.14,CL,1698634880
237,nar'yan-mar,67.6713,53.087,16.11,86,100,13.0,RU,1698634882
238,la'ie,21.6477,-157.9253,84.0,72,21,4.0,US,1698634883
239,curup,-3.4667,102.5333,85.19,34,82,2.04,ID,1698634606
240,egilsstadir,65.2653,-14.3948,28.31,100,20,1.14,IS,1698634887
241,maues,-3.3836,-57.7186,83.66,50,33,2.59,BR,1698634889
242,gazipasa,36.2694,32.3179,75.11,45,100,4.45,TR,1698634891
243,kourou,5.1552,-52.6478,78.85,84,75,11.05,GF,1698634892
244,salina,38.8403,-97.6114,32.95,62,84,7.96,US,1698634808
245,mejit,10.2753,170.8646,82.4,81,100,21.41,MH,1698634895
246,tangalle,6.024,80.7911,78.96,74,83,3.2,LK,1698634896
247,greenville,35.6127,-77.3663,68.16,92,0,8.05,US,1698634898
248,kerikeri,-35.2268,173.9474,64.9,94,100,1.99,NZ,1698634899
249,northam,51.0333,-4.2167,53.65,96,90,16.08,GB,1698634901
250,falam,22.9167,93.6833,68.81,64,100,3.02,MM,1698634902
251,pervomayskoye,43.919,46.7102,60.1,57,100,3.31,RU,1698634903
252,syktyvkar,61.6764,50.8099,24.53,92,40,4.47,RU,1698634905
253,mount gambier,-37.8333,140.7667,59.74,46,68,15.93,AU,1698634906
254,tucurui,-3.7661,-49.6725,81.03,61,28,4.07,BR,1698634907
255,huarmey,-10.0681,-78.1522,66.99,88,95,7.63,PE,1698634908
256,kuanda,56.3161,116.0806,17.89,50,8,0.56,RU,1698634910
257,jeanerette,29.911,-91.6635,73.08,86,3,5.1,US,1698634911
258,kovdor,67.5662,30.4758,13.44,97,100,2.71,RU,1698634913
259,abu al matamir,30.9102,30.1744,70.29,82,89,7.65,EG,1698634914
260,mishkino,55.3389,63.9175,30.79,97,100,10.54,RU,1698634916
261,ji'an,27.1172,114.9793,76.59,59,0,3.06,CN,1698634917
262,mount pearl,47.5166,-52.7813,40.14,66,10,8.99,CA,1698634919
263,arraial do cabo,-22.9661,-42.0278,73.69,98,100,10.45,BR,1698634782
264,el bayadh,33.6832,1.0193,60.89,30,46,12.39,DZ,1698634923
265,aasiaat,68.7098,-52.8699,24.33,79,100,9.64,GL,1698634924
266,chernyshevsk,52.5243,117.0174,26.02,24,0,7.25,RU,1698634926
267,malanville,11.8685,3.3899,80.13,27,4,5.3,BJ,1698634927
268,taoudenni,22.6783,-3.9836,84.24,13,0,5.61,ML,1698634929
269,kabalo,-6.05,26.9167,69.6,94,100,1.81,CD,1698634930
270,kisangani,0.5167,25.2,72.41,84,98,2.3,CD,1698634932
271,makokou,0.5738,12.8642,69.73,96,100,1.19,GA,1698634933
272,luwuk,-0.9516,122.7875,88.48,60,12,4.41,ID,1698634935
273,uturoa,-16.7333,-151.4333,79.81,78,8,14.23,PF,1698634936
274,garissa,-0.4536,39.6401,77.29,83,87,9.08,KE,1698634938
275,macenta,8.5435,-9.471,67.28,85,2,1.03,GN,1698634939
276,kill devil hills,36.0307,-75.676,69.98,86,0,9.22,US,1698634941
277,kouroussa,10.65,-9.8833,72.97,73,1,2.48,GN,1698634942
278,minas de marcona,-15.2119,-75.1103,57.99,88,77,14.54,PE,1698634944
279,boa vista,2.8197,-60.6733,84.18,61,0,5.75,BR,1698634667
280,tabor,49.4144,14.6578,46.81,78,100,1.3,CZ,1698634946
281,praya,14.9215,-23.5087,77.54,73,75,5.75,CV,1698634948
282,san patricio,28.017,-97.5169,71.85,72,4,20.42,US,1698634949
283,papao,-17.75,-149.55,82.08,82,10,19.19,PF,1698634952
284,aykhal,66.0,111.5,-5.21,95,93,3.31,RU,1698634953
285,sredets,42.3475,27.179,53.71,62,0,0.54,BG,1698634955
286,san luis acatlan,16.8167,-98.7333,74.75,97,49,1.48,MX,1698634956
287,galesong,-5.3166,119.3661,93.22,58,4,7.85,ID,1698634957
288,xining,36.6167,101.7667,48.74,43,0,2.08,CN,1698634959
289,thinadhoo,0.5333,72.9333,81.34,78,68,16.62,MV,1698634960
290,billiri,9.8647,11.2253,77.09,34,53,4.09,NG,1698634962
291,qaqortoq,60.7167,-46.0333,39.45,76,100,13.56,GL,1698634963
292,corrales,35.2378,-106.6067,40.24,66,75,7.0,US,1698634901
293,soio,-6.1349,12.3689,77.68,90,98,10.98,AO,1698634965
294,puyo,-1.4667,-77.9833,65.66,97,100,1.88,EC,1698634967
295,deogarh,21.5333,84.7333,76.64,57,0,1.77,IN,1698634968
296,utrik,11.2278,169.8474,82.54,81,50,20.04,MH,1698634970
297,georgetown,5.4112,100.3354,85.95,82,20,5.01,MY,1698634971
298,puerto aysen,-45.4,-72.7,24.69,98,69,0.4,CL,1698634939
299,santana,-0.0583,-51.1817,82.58,69,20,8.05,BR,1698634974
300,velikovechnoye,44.934,39.755,55.33,66,0,4.34,RU,1698634975
301,afaahiti,-17.75,-149.2833,80.47,82,40,18.39,PF,1698634977
302,pedra azul,-16.0053,-41.2972,68.41,66,65,3.65,BR,1698634978
303,yarmouth,41.7057,-70.2286,49.96,95,100,9.22,US,1698634980
304,bhinmal,25.0,72.25,82.47,29,0,3.44,IN,1698634981
305,jinghong,21.991,100.7341,74.44,86,95,1.99,CN,1698634983
306,waddan,29.1614,16.139,67.37,59,69,6.98,LY,1698634984
307,labuan bajo,-8.4964,119.8877,85.33,64,48,8.03,ID,1698634985
308,awjilah,29.1081,21.2869,68.7,50,0,6.8,LY,1698634987
309,el bauga,18.262,33.9081,80.47,53,73,9.8,SD,1698634988
310,kuqa,41.7278,82.9364,60.26,30,72,3.15,CN,1698634852
311,geraldton,-28.7667,114.6,73.81,53,1,12.66,AU,1698634957
312,gwanda,-20.9333,29.0,55.27,88,100,16.15,ZW,1698634992
313,taltal,-25.4,-70.4833,61.07,81,23,1.88,CL,1698634889
314,mil'kovo,55.6078,37.7956,31.51,95,100,4.41,RU,1698634995
315,kapuskasing,49.4169,-82.4331,28.4,86,75,3.44,CA,1698634996
316,spittal an der drau,46.8,13.5,53.87,98,100,4.16,AT,1698634998
317,antofagasta,-23.65,-70.4,61.88,87,78,12.39,CL,1698634835
318,olonkinbyen,70.9221,-8.7187,32.58,69,100,4.56,SJ,1698635000
319,sukabumi,-6.9181,106.9267,88.59,50,57,1.63,ID,1698635002
320,san luis,-33.295,-66.3356,63.54,68,3,14.09,AR,1698635003
321,el bolson,-41.9667,-71.5167,34.34,98,100,8.03,AR,1698635005
322,zhuanghe,39.7008,122.9911,66.58,70,88,5.17,CN,1698635006
323,yerofey pavlovich,53.9667,121.9667,24.82,38,9,8.39,RU,1698635007
324,forster,-32.1667,152.5167,81.28,47,0,18.28,AU,1698635009
